inst,actual,predicted,error,,
1,1,0.488,-0.512,,
2,1,0.49,-0.51,,
3,0,0.495,0.495,,
4,0,0.482,0.482,,
5,0,0.472,0.472,,
6,1,0.493,-0.507,,
7,0,0.47,0.47,,
8,1,0.477,-0.523,,
9,1,0.469,-0.531,,
10,0,0.496,0.496,,
11,0,0.484,0.484,,
12,0,0.47,0.47,,
13,0,0.496,0.496,,
14,1,0.469,-0.531,,
15,1,0.488,-0.512,,
16,0,0.467,0.467,,
17,0,0.488,0.488,,
18,1,0.485,-0.515,,
19,1,0.477,-0.523,,
20,1,0.475,-0.525,,
21,0,0.469,0.469,,
22,0,0.494,0.494,,
23,1,0.475,-0.525,,
24,0,0.493,0.493,,
25,0,0.48,0.48,,
26,0,0.494,0.494,,
27,1,0.47,-0.53,,
28,0,0.482,0.482,,
29,1,0.49,-0.51,,
30,1,0.484,-0.516,,
31,0,0.491,0.491,,
32,0,0.495,0.495,,
33,1,0.475,-0.525,,
34,1,0.492,-0.508,,
35,0,0.489,0.489,,
36,1,0.482,-0.518,,
37,0,0.466,0.466,,
38,1,0.477,-0.523,,
39,1,0.485,-0.515,,
40,1,0.491,-0.509,,
41,0,0.496,0.496,,
42,1,0.482,-0.518,,
43,0,0.47,0.47,,
44,0,0.464,0.464,,
45,1,0.472,-0.528,,
46,1,0.476,-0.524,,
47,1,0.484,-0.516,,
48,0,0.494,0.494,,
49,1,0.485,-0.515,,
50,1,0.473,-0.527,,
51,1,0.474,-0.526,,
52,1,0.493,-0.507,,
53,0,0.493,0.493,,
54,0,0.492,0.492,,
55,0,0.495,0.495,,
56,1,0.485,-0.515,,
57,0,0.484,0.484,,
58,1,0.482,-0.518,,
59,1,0.487,-0.513,,
60,0,0.496,0.496,,
61,0,0.466,0.466,,
62,1,0.49,-0.51,,
63,0,0.492,0.492,,
64,0,0.495,0.495,,
65,1,0.47,-0.53,,
66,0,0.466,0.466,,
67,1,0.492,-0.508,,
68,0,0.493,0.493,,
69,0,0.491,0.491,,
70,1,0.472,-0.528,,
71,1,0.471,-0.529,,
72,1,0.491,-0.509,,
73,1,0.474,-0.526,,
74,0,0.463,0.463,,
75,0,0.491,0.491,,
76,1,0.48,-0.52,,
77,0,0.468,0.468,,
78,0,0.477,0.477,,
79,1,0.487,-0.513,,
80,1,0.475,-0.525,,
81,1,0.49,-0.51,,
82,1,0.473,-0.527,,
83,0,0.493,0.493,,
84,0,0.491,0.491,,
